classifier_name,dataset_name,accuracy
BOOMC,1,87.82
BOOMC,2,84.01
BOOMC,3,72.54
BOOMC,4,71.52
BOOMC,5,72.84
BOOMC,6,58.59
BOOMC,7,93.35
BOOMC,8,69.35
BOOMC,9,94.57
BOOMC,10,82.52
BOOMC,11,78.22
BOOMC,12,68.38
BOOMC,13,90.17
BOOMC,14,79.06
BOOMC,15,81.73
BOOMC,16,76.69
RAOMS,1,87.82
RAOMS,2,69.51
RAOMS,3,73.08
RAOMS,4,71.06
RAOMS,5,72.82
RAOMS,6,58.29
RAOMS,7,93.35
RAOMS,8,68.35
RAOMS,9,94.71
RAOMS,10,83.97
RAOMS,11,78.11
RAOMS,12,68.08
RAOMS,13,90.17
RAOMS,14,79.06
RAOMS,15,81.07
RAOMS,16,76.61
OGS,1,85.91
OGS,2,39.18
OGS,3,50.92
OGS,4,45.39
OGS,5,70.85
OGS,6,58.01
OGS,7,94.82
OGS,8,62.6
OGS,9,94.71
OGS,10,82.51
OGS,11,51.89
OGS,12,51.82
OGS,13,89.8
OGS,14,79.06
OGS,15,80.53
OGS,16,74.49
OSS,1,86.82
OSS,2,49.84
OSS,3,61.33
OSS,4,65.48
OSS,5,71.49
OSS,6,58.01
OSS,7,92.79
OSS,8,62.6
OSS,9,73.68
OSS,10,82.72
OSS,11,48.33
OSS,12,65.66
OSS,13,90.09
OSS,14,77.6
OSS,15,80.76
OSS,16,76.61
OSC,1,86.82
OSC,2,49.84
OSC,3,61.33
OSC,4,65.48
OSC,5,71.49
OSC,6,58.01
OSC,7,92.79
OSC,8,62.6
OSC,9,73.68
OSC,10,82.72
OSC,11,48.33
OSC,12,65.66
OSC,13,90.09
OSC,14,77.6
OSC,15,81.74
OSC,16,75.27
3WD_HD,1,86.91
3WD_HD,2,49.84
3WD_HD,3,66.42
3WD_HD,4,60.3
3WD_HD,5,71.49
3WD_HD,6,58.01
3WD_HD,7,93.91
3WD_HD,8,62.6
3WD_HD,9,71.39
3WD_HD,10,82.72
3WD_HD,11,48.33
3WD_HD,12,63.43
3WD_HD,13,90.09
3WD_HD,14,77.83
3WD_HD,15,80.87
3WD_HD,16,75.99
MSCRS,1,85.91
MSCRS,2,63.52
MSCRS,3,59.29
MSCRS,4,71.04
MSCRS,5,68.94
MSCRS,6,58.59
MSCRS,7,92.05
MSCRS,8,62.6
MSCRS,9,94.71
MSCRS,10,81.58
MSCRS,11,49
MSCRS,12,66.16
MSCRS,13,89.43
MSCRS,14,79.06
MSCRS,15,80.82
MSCRS,16,74.24
