classifier_name,dataset_name,accuracy
BOOMC,1,89.55
BOOMC,2,84.01
BOOMC,3,74.92
BOOMC,4,71.52
BOOMC,5,73.52
BOOMC,6,58.3
BOOMC,7,93.35
BOOMC,8,69.35
BOOMC,9,94.71
BOOMC,10,82.1
BOOMC,11,78.22
BOOMC,12,68.38
BOOMC,13,90.17
BOOMC,14,79.06
BOOMC,15,81.73
BOOMC,16,83.89
RAOMS,1,85.73
RAOMS,2,69.51
RAOMS,3,68.42
RAOMS,4,71.06
RAOMS,5,73.47
RAOMS,6,58.87
RAOMS,7,93.35
RAOMS,8,68.35
RAOMS,9,95.28
RAOMS,10,83.87
RAOMS,11,78.11
RAOMS,12,68.08
RAOMS,13,90.17
RAOMS,14,79.06
RAOMS,15,81.07
RAOMS,16,83.09
OGS,1,84.09
OGS,2,39.18
OGS,3,48.33
OGS,4,45.39
OGS,5,70.22
OGS,6,58.01
OGS,7,94.82
OGS,8,62.6
OGS,9,94.99
OGS,10,81.68
OGS,11,52.11
OGS,12,51.82
OGS,13,89.8
OGS,14,78.92
OGS,15,80.53
OGS,16,82.84
OSS,1,85.73
OSS,2,49.84
OSS,3,65.62
OSS,4,65.48
OSS,5,69.55
OSS,6,58.01
OSS,7,92.79
OSS,8,62.6
OSS,9,73.68
OSS,10,81.79
OSS,11,48.33
OSS,12,65.66
OSS,13,90.09
OSS,14,77.6
OSS,15,80.76
OSS,16,83.09
OSC,1,85.73
OSC,2,49.84
OSC,3,65.62
OSC,4,65.48
OSC,5,69.55
OSC,6,58.01
OSC,7,92.79
OSC,8,62.6
OSC,9,73.68
OSC,10,81.79
OSC,11,48.33
OSC,12,65.66
OSC,13,90.09
OSC,14,77.6
OSC,15,81.74
OSC,16,82.72
3WD_HD,1,88.36
3WD_HD,2,49.84
3WD_HD,3,67.17
3WD_HD,4,60.3
3WD_HD,5,69.55
3WD_HD,6,58.01
3WD_HD,7,93.91
3WD_HD,8,62.6
3WD_HD,9,71.39
3WD_HD,10,81.79
3WD_HD,11,48.33
3WD_HD,12,63.43
3WD_HD,13,90.09
3WD_HD,14,77.97
3WD_HD,15,80.87
3WD_HD,16,83.28
MSCRS,1,88.64
MSCRS,2,63.52
MSCRS,3,60.58
MSCRS,4,71.04
MSCRS,5,67.96
MSCRS,6,58.59
MSCRS,7,92.05
MSCRS,8,62.6
MSCRS,9,95.28
MSCRS,10,81.68
MSCRS,11,49
MSCRS,12,66.16
MSCRS,13,89.43
MSCRS,14,78.92
MSCRS,15,80.82
MSCRS,16,82.05
