classifier_name,dataset_name,ari
BOOMC,1,0.34
BOOMC,2,0.72
BOOMC,3,0.26
BOOMC,4,0.56
BOOMC,5,0.11
BOOMC,6,0
BOOMC,7,0.3
BOOMC,8,0.34
BOOMC,9,0.84
BOOMC,10,0.43
BOOMC,11,0.32
BOOMC,12,0.71
BOOMC,13,0.69
BOOMC,14,0.3
BOOMC,15,0.74
BOOMC,16,0.45
RAOMS,1,0.32
RAOMS,2,0.27
RAOMS,3,0.22
RAOMS,4,0.61
RAOMS,5,0.06
RAOMS,6,0
RAOMS,7,0.23
RAOMS,8,0.25
RAOMS,9,0.82
RAOMS,10,0.45
RAOMS,11,0.3
RAOMS,12,0.72
RAOMS,13,0.69
RAOMS,14,0.3
RAOMS,15,0.74
RAOMS,16,0.45
OGS,1,0.22
OGS,2,-0.01
OGS,3,0
OGS,4,0.02
OGS,5,0.01
OGS,6,0
OGS,7,0
OGS,8,0
OGS,9,0.79
OGS,10,0.42
OGS,11,0
OGS,12,0.44
OGS,13,0.68
OGS,14,0.3
OGS,15,0.73
OGS,16,0.43
OSS,1,0.3
OSS,2,0.04
OSS,3,0.04
OSS,4,0.42
OSS,5,0.07
OSS,6,0
OSS,7,0.14
OSS,8,0
OSS,9,0.18
OSS,10,0.41
OSS,11,0
OSS,12,0.68
OSS,13,0.69
OSS,14,0.28
OSS,15,0.74
OSS,16,0.45
OSC,1,0.3
OSC,2,0.09
OSC,3,0.04
OSC,4,0.44
OSC,5,0.08
OSC,6,0
OSC,7,0
OSC,8,0
OSC,9,0.18
OSC,10,0.42
OSC,11,0
OSC,12,0.69
OSC,13,0.69
OSC,14,0.28
OSC,15,0.74
OSC,16,0.41
3WD_HD,1,0.33
3WD_HD,2,0.05
3WD_HD,3,0.12
3WD_HD,4,0.37
3WD_HD,5,0.06
3WD_HD,6,0
3WD_HD,7,0.25
3WD_HD,8,0
3WD_HD,9,0.12
3WD_HD,10,0.41
3WD_HD,11,0
3WD_HD,12,0.67
3WD_HD,13,0.68
3WD_HD,14,0.29
3WD_HD,15,0.73
3WD_HD,16,0.45
MSCRS,1,0.31
MSCRS,2,0.34
MSCRS,3,0.08
MSCRS,4,0.49
MSCRS,5,0.1
MSCRS,6,0.01
MSCRS,7,0.07
MSCRS,8,0
MSCRS,9,0.62
MSCRS,10,0.45
MSCRS,11,0
MSCRS,12,0.71
MSCRS,13,0.64
MSCRS,14,0.3
MSCRS,15,0.73
MSCRS,16,0.4
