classifier_name,dataset_name,accuracy
BOOMC,1,88.73
BOOMC,2,90.82
BOOMC,3,74.33
BOOMC,4,78.14
BOOMC,5,74.8
BOOMC,6,58.88
BOOMC,7,95.75
BOOMC,8,70.38
BOOMC,9,96
BOOMC,10,82.93
BOOMC,11,78.44
BOOMC,12,85.56
BOOMC,13,89.36
BOOMC,14,78.87
BOOMC,15,86.87
BOOMC,16,83.43
RAOMS,1,87.82
RAOMS,2,70.27
RAOMS,3,74.29
RAOMS,4,79.96
RAOMS,5,73.14
RAOMS,6,58.87
RAOMS,7,95.38
RAOMS,8,68.6
RAOMS,9,95.28
RAOMS,10,83.66
RAOMS,11,77.78
RAOMS,12,85.86
RAOMS,13,89.36
RAOMS,14,78.92
RAOMS,15,86.64
RAOMS,16,83.43
OGS,1,85.91
OGS,2,37.64
OGS,3,54.92
OGS,4,44.44
OGS,5,72.81
OGS,6,58.01
OGS,7,94.82
OGS,8,62.6
OGS,9,94.71
OGS,10,82.41
OGS,11,52.11
OGS,12,67.88
OGS,13,89.58
OGS,14,78.78
OGS,15,86.29
OGS,16,82.82
OSS,1,86.82
OSS,2,51.48
OSS,3,63.21
OSS,4,70.65
OSS,5,72.15
OSS,6,58.01
OSS,7,95.19
OSS,8,62.6
OSS,9,73.25
OSS,10,82.21
OSS,11,47.44
OSS,12,83.94
OSS,13,89.58
OSS,14,77.6
OSS,15,86.84
OSS,16,83.43
OSC,1,86.82
OSC,2,52.97
OSC,3,62.67
OSC,4,72.51
OSC,5,72.81
OSC,6,58.01
OSC,7,94.82
OSC,8,62.6
OSC,9,73.39
OSC,10,82.41
OSC,11,48.56
OSC,12,84.85
OSC,13,89.8
OSC,14,77.6
OSC,15,86.87
OSC,16,82.14
3WD_HD,1,86.91
3WD_HD,2,51.43
3WD_HD,3,69.5
3WD_HD,4,68.74
3WD_HD,5,71.48
3WD_HD,6,58.01
3WD_HD,7,95.38
3WD_HD,8,62.6
3WD_HD,9,71.24
3WD_HD,10,82.31
3WD_HD,11,48.33
3WD_HD,12,83.64
3WD_HD,13,89.5
3WD_HD,14,78.06
3WD_HD,15,86.09
3WD_HD,16,83.38
MSCRS,1,86
MSCRS,2,71.87
MSCRS,3,66.38
MSCRS,4,73.92
MSCRS,5,74.78
MSCRS,6,58.59
MSCRS,7,95.01
MSCRS,8,62.6
MSCRS,9,89.7
MSCRS,10,83.45
MSCRS,11,46.67
MSCRS,12,84.95
MSCRS,13,86.48
MSCRS,14,79.06
MSCRS,15,86.31
MSCRS,16,81.5
