classifier_name,dataset_name,ari
BOOMC,1,0.28
BOOMC,2,0.58
BOOMC,3,0.22
BOOMC,4,0.43
BOOMC,5,0.12
BOOMC,6,0
BOOMC,7,0.07
BOOMC,8,0.35
BOOMC,9,0.85
BOOMC,10,0.44
BOOMC,11,0.32
BOOMC,12,0.66
BOOMC,13,0.7
BOOMC,14,0.3
BOOMC,15,0.7
BOOMC,16,0.4
RAOMS,1,0.28
RAOMS,2,0.24
RAOMS,3,0.16
RAOMS,4,0.49
RAOMS,5,0.09
RAOMS,6,0
RAOMS,7,0
RAOMS,8,0.28
RAOMS,9,0.82
RAOMS,10,0.47
RAOMS,11,0.31
RAOMS,12,0.68
RAOMS,13,0.7
RAOMS,14,0.3
RAOMS,15,0.7
RAOMS,16,0.37
OGS,1,0.22
OGS,2,0
OGS,3,0.02
OGS,4,0.01
OGS,5,0.01
OGS,6,0
OGS,7,0
OGS,8,0
OGS,9,0.76
OGS,10,0.44
OGS,11,0
OGS,12,0.37
OGS,13,0.69
OGS,14,0.3
OGS,15,0.7
OGS,16,0.37
OSS,1,0.24
OSS,2,0.08
OSS,3,0.07
OSS,4,0.32
OSS,5,0.06
OSS,6,0
OSS,7,0
OSS,8,0
OSS,9,0.19
OSS,10,0.43
OSS,11,0
OSS,12,0.44
OSS,13,0.67
OSS,14,0.28
OSS,15,0.7
OSS,16,0.37
OSC,1,0.24
OSC,2,0.08
OSC,3,0.07
OSC,4,0.32
OSC,5,0.06
OSC,6,0
OSC,7,0
OSC,8,0
OSC,9,0.19
OSC,10,0.44
OSC,11,0
OSC,12,0.44
OSC,13,0.66
OSC,14,0.28
OSC,15,0.7
OSC,16,0.39
3WD_HD,1,0.28
3WD_HD,2,0.08
3WD_HD,3,0.14
3WD_HD,4,0.31
3WD_HD,5,0.06
3WD_HD,6,0
3WD_HD,7,0.09
3WD_HD,8,0
3WD_HD,9,0.13
3WD_HD,10,0.44
3WD_HD,11,0
3WD_HD,12,0.47
3WD_HD,13,0.67
3WD_HD,14,0.28
3WD_HD,15,0.7
3WD_HD,16,0.39
MSCRS,1,0.25
MSCRS,2,0.27
MSCRS,3,0.05
MSCRS,4,0.42
MSCRS,5,0.1
MSCRS,6,0.01
MSCRS,7,0
MSCRS,8,0
MSCRS,9,0.81
MSCRS,10,0.45
MSCRS,11,0
MSCRS,12,0.64
MSCRS,13,0.7
MSCRS,14,0.3
MSCRS,15,0.69
MSCRS,16,0.36
