classifier_name,dataset_name,accuracy
BOOMC,1,86.91
BOOMC,2,85.49
BOOMC,3,73
BOOMC,4,71.58
BOOMC,5,75.46
BOOMC,6,58.31
BOOMC,7,95.01
BOOMC,8,71.38
BOOMC,9,96.14
BOOMC,10,83.24
BOOMC,11,78.44
BOOMC,12,82.73
BOOMC,13,90.17
BOOMC,14,79.06
BOOMC,15,84.65
BOOMC,16,81.57
RAOMS,1,86.91
RAOMS,2,69.51
RAOMS,3,71.04
RAOMS,4,74.37
RAOMS,5,74.77
RAOMS,6,58.3
RAOMS,7,94.82
RAOMS,8,69.11
RAOMS,9,95.42
RAOMS,10,84.39
RAOMS,11,78.11
RAOMS,12,83.84
RAOMS,13,90.1
RAOMS,14,79.06
RAOMS,15,84.27
RAOMS,16,80.3
OGS,1,85.91
OGS,2,37.64
OGS,3,50.92
OGS,4,45.39
OGS,5,72.81
OGS,6,58.01
OGS,7,94.82
OGS,8,62.6
OGS,9,93.7
OGS,10,83.14
OGS,11,52
OGS,12,63.43
OGS,13,89.36
OGS,14,79.06
OGS,15,84.46
OGS,16,80.5
OSS,1,85.82
OSS,2,50.6
OSS,3,62.04
OSS,4,65.58
OSS,5,72.14
OSS,6,58.01
OSS,7,94.82
OSS,8,62.6
OSS,9,73.68
OSS,10,83.04
OSS,11,48.44
OSS,12,68.18
OSS,13,88.55
OSS,14,77.6
OSS,15,84.51
OSS,16,80.3
OSC,1,85.82
OSC,2,50.6
OSC,3,62.04
OSC,4,65.58
OSC,5,71.8
OSC,6,58.01
OSC,7,94.82
OSC,8,62.6
OSC,9,73.68
OSC,10,83.25
OSC,11,48.56
OSC,12,68.18
OSC,13,88.4
OSC,14,77.6
OSC,15,84.71
OSC,16,81.09
3WD_HD,1,86.73
3WD_HD,2,50.6
3WD_HD,3,70.37
3WD_HD,4,64.94
3WD_HD,5,71.8
3WD_HD,6,58.01
3WD_HD,7,95.01
3WD_HD,8,62.6
3WD_HD,9,71.39
3WD_HD,10,83.14
3WD_HD,11,48.22
3WD_HD,12,70.1
3WD_HD,13,88.84
3WD_HD,14,77.83
3WD_HD,15,84.51
3WD_HD,16,81.27
MSCRS,1,85.91
MSCRS,2,67.31
MSCRS,3,63.92
MSCRS,4,71.6
MSCRS,5,75.11
MSCRS,6,58.59
MSCRS,7,94.82
MSCRS,8,62.6
MSCRS,9,95.13
MSCRS,10,83.45
MSCRS,11,49.44
MSCRS,12,80.91
MSCRS,13,90.25
MSCRS,14,79.06
MSCRS,15,84.26
MSCRS,16,80.19
