classifier_name,dataset_name,ari
BOOMC,1,0.39
BOOMC,2,0.68
BOOMC,3,0.25
BOOMC,4,0.55
BOOMC,5,0.11
BOOMC,6,0
BOOMC,7,0.37
BOOMC,8,0.29
BOOMC,9,0.8
BOOMC,10,0.41
BOOMC,11,0.32
BOOMC,12,0.41
BOOMC,13,0.69
BOOMC,14,0.3
BOOMC,15,0.68
BOOMC,16,0.44
RAOMS,1,0.38
RAOMS,2,0.23
RAOMS,3,0.13
RAOMS,4,0.55
RAOMS,5,0.09
RAOMS,6,0
RAOMS,7,0.33
RAOMS,8,0.28
RAOMS,9,0.78
RAOMS,10,0.44
RAOMS,11,0.31
RAOMS,12,0.42
RAOMS,13,0.69
RAOMS,14,0.3
RAOMS,15,0.68
RAOMS,16,0.43
OGS,1,0.2
OGS,2,0.03
OGS,3,0.02
OGS,4,0.02
OGS,5,0.01
OGS,6,0
OGS,7,0
OGS,8,0
OGS,9,0.79
OGS,10,0.42
OGS,11,0
OGS,12,0.22
OGS,13,0.71
OGS,14,0.3
OGS,15,0.67
OGS,16,0.43
OSS,1,0.41
OSS,2,0.14
OSS,3,0.07
OSS,4,0.31
OSS,5,0.07
OSS,6,0
OSS,7,0.26
OSS,8,0
OSS,9,0.17
OSS,10,0.41
OSS,11,0
OSS,12,0.39
OSS,13,0.69
OSS,14,0.28
OSS,15,0.67
OSS,16,0.43
OSC,1,0.41
OSC,2,0.14
OSC,3,0.07
OSC,4,0.31
OSC,5,0.07
OSC,6,0
OSC,7,0.26
OSC,8,0
OSC,9,0.17
OSC,10,0.41
OSC,11,0
OSC,12,0.39
OSC,13,0.69
OSC,14,0.28
OSC,15,0.68
OSC,16,0.42
3WD_HD,1,0.38
3WD_HD,2,0.14
3WD_HD,3,0.09
3WD_HD,4,0.27
3WD_HD,5,0.07
3WD_HD,6,0
3WD_HD,7,0.21
3WD_HD,8,0
3WD_HD,9,0.12
3WD_HD,10,0.41
3WD_HD,11,0
3WD_HD,12,0.34
3WD_HD,13,0.69
3WD_HD,14,0.28
3WD_HD,15,0.67
3WD_HD,16,0.44
MSCRS,1,0.31
MSCRS,2,0.17
MSCRS,3,0.03
MSCRS,4,0.54
MSCRS,5,0.08
MSCRS,6,0.01
MSCRS,7,0.34
MSCRS,8,0
MSCRS,9,0.64
MSCRS,10,0.41
MSCRS,11,0
MSCRS,12,0.42
MSCRS,13,0.69
MSCRS,14,0.3
MSCRS,15,0.66
MSCRS,16,0.39
