classifier_name,dataset_name,accuracy
BOOMC,1,88.64
BOOMC,2,88.52
BOOMC,3,73.5
BOOMC,4,76.75
BOOMC,5,73.17
BOOMC,6,58.87
BOOMC,7,94.83
BOOMC,8,68.36
BOOMC,9,94.71
BOOMC,10,82.31
BOOMC,11,78.44
BOOMC,12,65.45
BOOMC,13,90.02
BOOMC,14,78.92
BOOMC,15,83.31
BOOMC,16,83.24
RAOMS,1,86.64
RAOMS,2,68.02
RAOMS,3,69.17
RAOMS,4,76.69
RAOMS,5,73.47
RAOMS,6,58.58
RAOMS,7,94.27
RAOMS,8,68.11
RAOMS,9,94.28
RAOMS,10,83.24
RAOMS,11,78.11
RAOMS,12,65.66
RAOMS,13,90.02
RAOMS,14,78.92
RAOMS,15,82.98
RAOMS,16,82.89
OGS,1,85
OGS,2,32.2
OGS,3,50.92
OGS,4,45.39
OGS,5,71.49
OGS,6,58.01
OGS,7,94.82
OGS,8,62.6
OGS,9,94.56
OGS,10,82.41
OGS,11,51.89
OGS,12,48.18
OGS,13,90.76
OGS,14,78.92
OGS,15,82.86
OGS,16,82.73
OSS,1,89.55
OSS,2,55.11
OSS,3,65.12
OSS,4,62.68
OSS,5,71.48
OSS,6,58.01
OSS,7,93.9
OSS,8,62.6
OSS,9,73.11
OSS,10,82.21
OSS,11,48.33
OSS,12,63.13
OSS,13,90.17
OSS,14,77.6
OSS,15,82.77
OSS,16,82.89
OSC,1,89.55
OSC,2,55.11
OSC,3,65.12
OSC,4,62.68
OSC,5,71.48
OSC,6,58.01
OSC,7,93.9
OSC,8,62.6
OSC,9,73.11
OSC,10,82.21
OSC,11,48.33
OSC,12,63.13
OSC,13,90.17
OSC,14,77.6
OSC,15,83.33
OSC,16,82.23
3WD_HD,1,86.73
3WD_HD,2,55.11
3WD_HD,3,66.42
3WD_HD,4,61.19
3WD_HD,5,71.48
3WD_HD,6,58.01
3WD_HD,7,93.16
3WD_HD,8,62.6
3WD_HD,9,71.24
3WD_HD,10,82.21
3WD_HD,11,48.33
3WD_HD,12,58.18
3WD_HD,13,90.17
3WD_HD,14,77.97
3WD_HD,15,82.56
3WD_HD,16,83.24
MSCRS,1,84.82
MSCRS,2,62.8
MSCRS,3,61.33
MSCRS,4,75.3
MSCRS,5,70.58
MSCRS,6,58.59
MSCRS,7,93.34
MSCRS,8,62.6
MSCRS,9,90.12
MSCRS,10,82.2
MSCRS,11,49
MSCRS,12,66.67
MSCRS,13,90.17
MSCRS,14,78.92
MSCRS,15,82.27
MSCRS,16,81.41
